Title,parent_genre_str,metadata,poster,year,IMDB Score,Runtime,runtime_normalized,primary_language,Premiere
enter the anime,documentary,movie title is enter the anime. genre is documentary. language is english/japanese.,https://m.media-amazon.com/images/M/MV5BNzljM2U2OWItNjE1NS00ZDdmLTlhNDctNmVjZTJlMWFjYTg1XkEyXkFqcGc@._V1_SX300.jpg,2019.0,2.5,58,0.2634146341463414,english,"August 5, 2019"
dark forces,thriller,movie title is dark forces. genre is thriller. language is spanish.,https://m.media-amazon.com/images/M/MV5BOTIxMWFmYmMtZGE5OS00MjMxLTg3MGQtOGM5Y2I0MTFkZWY3XkEyXkFqcGc@._V1_SX300.jpg,2020.0,2.6,81,0.375609756097561,spanish,"August 21, 2020"
the app,"scifi, drama","movie title is the app. genre is scifi, drama. language is italian.",https://m.media-amazon.com/images/M/MV5BNzgzZGFlNGMtN2Q1Ni00ZTQ2LThmZmYtYWZmNjJhODQ1Yjc3XkEyXkFqcGc@._V1_SX300.jpg,2019.0,2.6,79,0.36585365853658536,italian,"December 26, 2019"
the open house,"horror, thriller","movie title is the open house. genre is horror, thriller. language is english.",https://m.media-amazon.com/images/M/MV5BMTU0MjQxNjk3Ml5BMl5BanBnXkFtZTgwOTM3NzY0NDM@._V1_SX300.jpg,2018.0,3.2,94,0.43902439024390244,english,"January 19, 2018"
kaali khuhi,mystery,movie title is kaali khuhi. genre is mystery. language is hindi.,https://m.media-amazon.com/images/M/MV5BZjRhNGE4NWQtNzgzMi00MzFiLThhMTAtZmIwMTIyNWNhOTQ5XkEyXkFqcGc@._V1_SX300.jpg,2020.0,3.4,90,0.4195121951219512,hindi,"October 30, 2020"
drive,action,movie title is drive. genre is action. language is hindi.,"https://m.media-amazon.com/images/M/MV5BYTFmNTFlOTAtNzEyNi00MWU2LTg3MGEtYjA2NWY3MDliNjlkXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg",2019.0,3.5,147,0.697560975609756,hindi,"November 1, 2019"
leyla everlasting,comedy,movie title is leyla everlasting. genre is comedy. language is turkish.,https://m.media-amazon.com/images/M/MV5BMmZkNWQyNWEtYTUxMy00Y2RjLThkNGMtNDBjZjE1NWI4MmFiXkEyXkFqcGc@._V1_SX300.jpg,2020.0,3.7,112,0.526829268292683,turkish,"December 4, 2020"
the last days of american crime,"action, thriller","movie title is the last days of american crime. genre is action, thriller. language is english.",https://m.media-amazon.com/images/M/MV5BNjkxZTFhYWUtMjFlYy00Y2M1LTg4MDUtZTViY2MxMmEwZTg0XkEyXkFqcGc@._V1_SX300.jpg,2020.0,3.7,149,0.7073170731707317,english,"June 5, 2020"
paradox,"fantasy, musical, western","movie title is paradox. genre is fantasy, musical, western. language is english.",https://m.media-amazon.com/images/M/MV5BOGM0MzUyN2ItZjNjYS00ZjM3LWJkNGMtNmQxYmVmYTMyYmYwXkEyXkFqcGc@._V1_SX300.jpg,2018.0,3.9,73,0.3365853658536585,english,"March 23, 2018"
sardar ka grandson,comedy,movie title is sardar ka grandson. genre is comedy. language is hindi.,https://m.media-amazon.com/images/M/MV5BZGYxMjEyZDMtZjMzMi00MTI5LWIzM2YtNzllYTdmMzIwODIwXkEyXkFqcGc@._V1_SX300.jpg,2021.0,4.1,139,0.6585365853658537,hindi,"May 18, 2021"
searching for sheela,documentary,movie title is searching for sheela. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BN2M4NTAyM2QtYmE4OS00NTEyLWE0NGQtNTU2Y2YyNDBiZDBlXkEyXkFqcGc@._V1_SX300.jpg,2021.0,4.1,58,0.2634146341463414,english,"April 22, 2021"
the call,drama,movie title is the call. genre is drama. language is korean.,https://m.media-amazon.com/images/M/MV5BMjExNDkzNjAwOV5BMl5BanBnXkFtZTcwMDMzMzQwOQ@@._V1_SX300.jpg,2020.0,4.1,112,0.526829268292683,korean,"November 27, 2020"
whipped,"comedy, romance","movie title is whipped. genre is comedy, romance. language is indonesian.",https://m.media-amazon.com/images/M/MV5BZjkwNTgyYzgtMTMyMC00YmE1LWJlM2MtNjIxNzdiZWQxMjYwXkEyXkFqcGc@._V1_SX300.jpg,2020.0,4.1,97,0.4536585365853658,indonesian,"September 18, 2020"
all because of you,"action, comedy","movie title is all because of you. genre is action, comedy. language is malay.",https://m.media-amazon.com/images/M/MV5BMGU3NmE1NDYtNjkxZC00MDI3LTgxMWYtMGY1MDUyZDE3MzNkXkEyXkFqcGc@._V1_SX300.jpg,2020.0,4.2,101,0.47317073170731705,malay,"October 1, 2020"
mercy,thriller,movie title is mercy. genre is thriller. language is english.,"https://m.media-amazon.com/images/M/MV5BMWJmYjcwMTMtMDU1ZC00ZGI5LTlmZDAtODI3NDA2ZTE5ZGVlXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg",2016.0,4.2,90,0.4195121951219512,english,"November 22, 2016"
