Title,Genre,parent_genre_str,metadata,poster,year,IMDB Score,Runtime,runtime_normalized,primary_language,Premiere
enter the anime,documentary,documentary,movie title is enter the anime. genre is documentary. language is english/japanese.,https://m.media-amazon.com/images/M/MV5BNzljM2U2OWItNjE1NS00ZDdmLTlhNDctNmVjZTJlMWFjYTg1XkEyXkFqcGc@._V1_SX300.jpg,2019.0,2.5,58,0.2634146341463414,english,"August 5, 2019"
dark forces,thriller,thriller,movie title is dark forces. genre is thriller. language is spanish.,https://m.media-amazon.com/images/M/MV5BOTIxMWFmYmMtZGE5OS00MjMxLTg3MGQtOGM5Y2I0MTFkZWY3XkEyXkFqcGc@._V1_SX300.jpg,2020.0,2.6,81,0.375609756097561,spanish,"August 21, 2020"
the app,"science fiction, drama","scifi, drama","movie title is the app. genre is scifi, drama. language is italian.",https://m.media-amazon.com/images/M/MV5BNzgzZGFlNGMtN2Q1Ni00ZTQ2LThmZmYtYWZmNjJhODQ1Yjc3XkEyXkFqcGc@._V1_SX300.jpg,2019.0,2.6,79,0.36585365853658536,italian,"December 26, 2019"
the open house,horror thriller,"horror, thriller","movie title is the open house. genre is horror, thriller. language is english.",https://m.media-amazon.com/images/M/MV5BMTU0MjQxNjk3Ml5BMl5BanBnXkFtZTgwOTM3NzY0NDM@._V1_SX300.jpg,2018.0,3.2,94,0.43902439024390244,english,"January 19, 2018"
kaali khuhi,mystery,mystery,movie title is kaali khuhi. genre is mystery. language is hindi.,https://m.media-amazon.com/images/M/MV5BZjRhNGE4NWQtNzgzMi00MzFiLThhMTAtZmIwMTIyNWNhOTQ5XkEyXkFqcGc@._V1_SX300.jpg,2020.0,3.4,90,0.4195121951219512,hindi,"October 30, 2020"
drive,action,action,movie title is drive. genre is action. language is hindi.,"https://m.media-amazon.com/images/M/MV5BYTFmNTFlOTAtNzEyNi00MWU2LTg3MGEtYjA2NWY3MDliNjlkXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg",2019.0,3.5,147,0.697560975609756,hindi,"November 1, 2019"
leyla everlasting,comedy,comedy,movie title is leyla everlasting. genre is comedy. language is turkish.,https://m.media-amazon.com/images/M/MV5BMmZkNWQyNWEtYTUxMy00Y2RjLThkNGMtNDBjZjE1NWI4MmFiXkEyXkFqcGc@._V1_SX300.jpg,2020.0,3.7,112,0.526829268292683,turkish,"December 4, 2020"
the last days of american crime,"heist film, thriller","thriller, action","movie title is the last days of american crime. genre is thriller, action. language is english.",https://m.media-amazon.com/images/M/MV5BNjkxZTFhYWUtMjFlYy00Y2M1LTg4MDUtZTViY2MxMmEwZTg0XkEyXkFqcGc@._V1_SX300.jpg,2020.0,3.7,149,0.7073170731707317,english,"June 5, 2020"
paradox,"musical, western, fantasy","fantasy, western, musical","movie title is paradox. genre is fantasy, western, musical. language is english.",https://m.media-amazon.com/images/M/MV5BOGM0MzUyN2ItZjNjYS00ZjM3LWJkNGMtNmQxYmVmYTMyYmYwXkEyXkFqcGc@._V1_SX300.jpg,2018.0,3.9,73,0.3365853658536585,english,"March 23, 2018"
sardar ka grandson,comedy,comedy,movie title is sardar ka grandson. genre is comedy. language is hindi.,https://m.media-amazon.com/images/M/MV5BZGYxMjEyZDMtZjMzMi00MTI5LWIzM2YtNzllYTdmMzIwODIwXkEyXkFqcGc@._V1_SX300.jpg,2021.0,4.1,139,0.6585365853658537,hindi,"May 18, 2021"
