Title,Genre,parent_genre_str,main_parent_genre,metadata,poster,year_premiere,IMDB Score,Runtime,runtime_normalized,primary_language_capitalized,Premiere,Director,Plot
enter the anime,documentary,documentary,documentary,movie title is enter the anime. genre is documentary. language is english/japanese.,https://m.media-amazon.com/images/M/MV5BNzljM2U2OWItNjE1NS00ZDdmLTlhNDctNmVjZTJlMWFjYTg1XkEyXkFqcGc@._V1_SX300.jpg,2019.0,2.5,58,0.2634146341463414,English,"August 5, 2019",Alex Burunova,"It is a documentary special aimed at newcomers to anime, and follows anime newbie, Alex Burunova, as she dives into the mysterious world of the genre. The documentary features some of the biggest anime stars like Kenji Kamiyama, S..."
dark forces,thriller,thriller,thriller,movie title is dark forces. genre is thriller. language is spanish.,https://m.media-amazon.com/images/M/MV5BOTIxMWFmYmMtZGE5OS00MjMxLTg3MGQtOGM5Y2I0MTFkZWY3XkEyXkFqcGc@._V1_SX300.jpg,2020.0,2.6,81,0.375609756097561,Spanish,"August 21, 2020",Bernardo Arellano,"In search of his sister, a renegade criminal seeks answers at a sordid hotel where he encounters a sinister guest and romances a mysterious waitress."
the app,"science fiction, drama","scifi, drama",scifi,"movie title is the app. genre is scifi, drama. language is italian.",https://m.media-amazon.com/images/M/MV5BNzgzZGFlNGMtN2Q1Ni00ZTQ2LThmZmYtYWZmNjJhODQ1Yjc3XkEyXkFqcGc@._V1_SX300.jpg,2019.0,2.6,79,0.36585365853658536,Italian,"December 26, 2019",Elisa Fuksas,"Loving girlfriend, family fortune, breakout movie role: he's got it all. Until an app awakens a powerful new yearning. While in Rome to shoot his first movie, Niccolò becomes obsessed and sent into a self-destructive spiral."
the open house,horror thriller,"horror, thriller",horror,"movie title is the open house. genre is horror, thriller. language is english.",https://m.media-amazon.com/images/M/MV5BMTU0MjQxNjk3Ml5BMl5BanBnXkFtZTgwOTM3NzY0NDM@._V1_SX300.jpg,2018.0,3.2,94,0.43902439024390244,English,"January 19, 2018","Matt Angel, Suzanne Coote",A teenager and his mother find themselves besieged by threatening forces when they move into a new house.
kaali khuhi,mystery,mystery,mystery,movie title is kaali khuhi. genre is mystery. language is hindi.,https://m.media-amazon.com/images/M/MV5BZjRhNGE4NWQtNzgzMi00MzFiLThhMTAtZmIwMTIyNWNhOTQ5XkEyXkFqcGc@._V1_SX300.jpg,2020.0,3.4,90,0.4195121951219512,Hindi,"October 30, 2020",Terrie Samundra,"Shivangi, a 10 year old girl, is put to the ultimate test to save her family's village from the restless ghosts of its horrific past."
drive,action,action,action,movie title is drive. genre is action. language is hindi.,"https://m.media-amazon.com/images/M/MV5BYTFmNTFlOTAtNzEyNi00MWU2LTg3MGEtYjA2NWY3MDliNjlkXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg",2019.0,3.5,147,0.697560975609756,Hindi,"November 1, 2019",Nicolas Winding Refn,A mysterious Hollywood action film stuntman gets in trouble with gangsters when he tries to help his neighbor's husband rob a pawn shop while serving as his getaway driver.
leyla everlasting,comedy,comedy,comedy,movie title is leyla everlasting. genre is comedy. language is turkish.,https://m.media-amazon.com/images/M/MV5BMmZkNWQyNWEtYTUxMy00Y2RjLThkNGMtNDBjZjE1NWI4MmFiXkEyXkFqcGc@._V1_SX300.jpg,2020.0,3.7,112,0.526829268292683,Turkish,"December 4, 2020",Ezel Akay,"A resilient housewife, her husband and their marriage therapist become mired in a toxic love triangle and a plot to obtain an antique manuscript."
the last days of american crime,"heist film, thriller","thriller, action",thriller,"movie title is the last days of american crime. genre is thriller, action. language is english.",https://m.media-amazon.com/images/M/MV5BNjkxZTFhYWUtMjFlYy00Y2M1LTg4MDUtZTViY2MxMmEwZTg0XkEyXkFqcGc@._V1_SX300.jpg,2020.0,3.7,149,0.7073170731707317,English,"June 5, 2020",Olivier Megaton,"In the not-too-distant future, as a final response to terrorism and crime, the U.S. government plans to broadcast a signal making it impossible for anyone to knowingly commit unlawful acts."
paradox,"musical, western, fantasy","musical, fantasy, western",musical,"movie title is paradox. genre is musical, fantasy, western. language is english.",https://m.media-amazon.com/images/M/MV5BOGM0MzUyN2ItZjNjYS00ZjM3LWJkNGMtNmQxYmVmYTMyYmYwXkEyXkFqcGc@._V1_SX300.jpg,2018.0,3.9,73,0.3365853658536585,English,"March 23, 2018",Wilson Yip,A tough Hong Kong cop's 16 y.o. daughter disappears in Pattaya. He goes to Thailand to find her and must deal with corrupt cops but an honest one helps him track down culprits involved in illegal organ trafficking.
sardar ka grandson,comedy,comedy,comedy,movie title is sardar ka grandson. genre is comedy. language is hindi.,https://m.media-amazon.com/images/M/MV5BZGYxMjEyZDMtZjMzMi00MTI5LWIzM2YtNzllYTdmMzIwODIwXkEyXkFqcGc@._V1_SX300.jpg,2021.0,4.1,139,0.6585365853658537,Hindi,"May 18, 2021",Kaashvi Nair,A devoted grandson embarks on a complicated and comic journey to fulfill his ailing grandmother's last wish.
